score,members,episodes,genre_count,prediction
6.71,120738,12,3,1
7.45,118997,12,3,1
6.9,118225,13,5,1
8.38,116128,13,1,2
7.33,112977,13,3,1
6.2,110917,13,2,1
6.84,109584,12,3,1
7.15,107277,12,1,2
7.46,106971,12,2,1
7.13,106571,12,1,2
7.26,104437,12,2,1
6.51,102683,12,2,1
8.04,99268,12,3,1
7.86,98054,11,3,1
7.25,97713,12,2,1
6.77,97307,12,3,1
6.26,94691,13,2,1
8.02,94633,12,1,2
7.57,94028,12,2,1
6.12,92482,12,3,1
6.67,90667,12,2,1
7.02,90546,12,3,1
7.46,89471,12,2,1
8.12,88302,25,2,3
8.71,87576,13,1,2
6.78,87454,12,2,1
5.22,86047,12,3,1
7.33,85485,12,1,2
6.68,82793,12,3,1
7.37,82080,12,1,2
6.34,81699,12,3,1
5.7,81374,12,3,1
7.3,80235,12,2,1
7.03,79899,12,3,1
7.63,79474,12,2,1
7.19,76941,13,3,1
5.82,75421,12,3,1
7.39,74655,12,3,1
7.23,74236,12,3,1
6.8,73815,12,2,1
7.03,69053,12,2,1
7.03,69001,12,1,2
7.27,66740,12,2,1
6.27,65743,12,2,1
6.99,64957,13,3,1
6.06,64773,10,3,1
8.13,62700,12,3,1
7.36,62689,12,1,2
7.54,60966,12,2,1
6.76,60465,12,3,1
7.4,59364,12,2,1
7.6,57858,13,2,1
7.37,56345,12,1,2
6.95,55231,12,2,1
6.81,54547,12,2,1
7.36,53991,12,2,1
6.52,53614,12,2,1
7.85,53442,23,3,3
8.06,53156,20,2,3
6.8,52037,13,2,1
7.47,51522,12,1,2
8.72,51342,13,1,2
8.57,50562,12,2,1
6.21,49536,12,2,1
6.53,49374,13,2,1
7.09,48127,12,2,1
5.6,47783,12,3,1
7.12,47254,12,3,1
5.92,46326,12,3,1
7.52,44781,12,2,1
7.74,41807,12,2,1
7.8,40110,12,1,2
7.07,38135,4,2,2
7.44,36288,12,3,1
6.58,34908,13,3,1
6.47,34720,12,2,1
7.55,33588,12,3,1
6.55,32444,12,3,1
6.36,31613,12,1,2
6.96,30904,12,1,2
6.92,29507,12,2,1
7.59,26620,22,3,3
5.56,24271,24,3,3
7.29,23894,13,2,1
6.72,22227,12,1,2
7.1,20839,12,2,1
7.88,19971,12,1,2
6.73,19435,13,2,1
6.14,17916,12,-1,2
6.17,16260,12,1,2
7.38,15994,12,1,2
6.32,15445,10,1,2
6.09,13820,8,2,2
7.11,13701,13,2,1
5.9,13327,10,3,1
6.92,12298,12,1,2
5.42,11791,12,2,2
5.41,11789,12,3,1
6.08,10298,12,1,2
6.48,10100,13,1,2
5.65,9600,12,1,2
6.8,8329,11,2,1
6.88,8322,12,2,1
5.82,8069,13,2,2
6.2,7961,12,2,2
6.67,7381,13,1,2
5.63,7347,12,1,2
6.41,7205,6,2,2
6.84,6657,12,1,2
5.86,6336,13,3,1
5.1,5619,13,2,2
5.69,5482,6,3,1
6.32,4878,12,1,2
6.05,4476,13,3,1
7.07,4227,13,1,2
7.12,2851,13,1,2
6.64,2584,23,1,3
5.92,2390,6,2,2
6.77,2244,12,1,2
5.84,1938,6,1,2
6.68,1842,12,2,1
5.39,779,12,2,2
5.65,537,6,1,2
8.71,606750,13,3,0
7.59,380790,11,2,0
8.88,320642,24,2,3
7.78,231429,12,3,1
8.24,229475,12,3,1
7.3,188868,13,2,1
7.73,157276,12,1,2
7.97,141044,12,2,1
7.6,135281,12,2,1
6.78,133565,12,2,1
7.43,127358,13,3,1
5.96,124979,12,1,2
